time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449200000	18.6347	17.3431	6.94861	2.1175	-0.202548	lidar	1.29445e-321	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.4705	17.6155	6.94861	2.10737	-0.202548	radar	1.39069e-309	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.1215	17.5991	6.04411	2.5337	1.60336	lidar	1.29445e-321	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	17.8845	17.7513	6.04411	2.61387	1.60336	radar	1.39069e-309	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.1072	18.0288	3.79385	2.11795	-0.80685	lidar	1.29445e-321	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	18.0192	18.1805	3.79385	2.07761	-0.80685	radar	1.39069e-309	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.913	18.2415	3.38301	2.17451	-0.253321	lidar	1.29445e-321	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.8273	18.3655	3.38301	2.16184	-0.253321	radar	1.39069e-309	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4642	18.6616	5.90568	2.45745	0.926513	lidar	1.29445e-321	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2618	18.8193	5.90568	2.50377	0.926513	radar	1.39069e-309	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1544	18.9015	5.10101	2.52391	0.852339	lidar	1.29445e-321	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9618	19.033	5.10101	2.56653	0.852339	radar	1.39069e-309	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.6098	19.0652	5.81271	2.87307	1.89423	lidar	1.29445e-321	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.3512	19.1234	5.81271	2.96778	1.89423	radar	1.39069e-309	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.217	19.5478	5.83985	2.40279	-0.837676	lidar	1.29445e-321	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
